                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2569,                 4.8906,                 1.9242,                0.00531,                0.74229,                0.02394,                0.01914,                0.84805,                  5.102,                 1.5846,             1.9813e-05,             1.9813e-05,             1.9813e-05
                     34,                 1.2398,                 4.8516,                 1.9071,                0.00572,                0.75565,                0.02647,                0.02142,                0.85309,                 5.0705,                 1.5461,             1.9526e-05,             1.9526e-05,             1.9526e-05
                     35,                 1.2445,                 4.8498,                 1.8976,                0.00575,                0.76011,                0.02772,                0.02242,                0.82142,                 5.0237,                 1.5437,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     36,                 1.2319,                 4.8148,                 1.8915,                 0.0053,                 0.7728,                0.02584,                0.02125,                0.82916,                 5.0272,                 1.5517,             1.8951e-05,             1.8951e-05,             1.8951e-05
                     37,                  1.224,                 4.7947,                 1.8769,                 0.0057,                0.78195,                 0.0285,                0.02365,                0.81605,                 4.9915,                 1.5094,             1.8664e-05,             1.8664e-05,             1.8664e-05
                     38,                 1.2106,                 4.7635,                 1.8532,                0.00605,                  0.758,                0.02892,                0.02412,                0.81556,                 5.0015,                 1.5452,             1.8377e-05,             1.8377e-05,             1.8377e-05
                     39,                 1.2171,                 4.7695,                 1.8652,                0.00564,                 0.7738,                0.02882,                 0.0239,                0.80628,                  4.953,                 1.5096,              1.809e-05,              1.809e-05,              1.809e-05
                     40,                 1.1937,                 4.7462,                 1.8441,                0.00551,                0.79784,                0.03121,                0.02604,                0.80191,                 4.9417,                 1.5236,             1.7803e-05,             1.7803e-05,             1.7803e-05
                     41,                 1.2008,                 4.7488,                 1.8398,                0.00544,                0.78309,                0.03119,                0.02588,                0.79304,                 4.9238,                 1.4932,             1.7516e-05,             1.7516e-05,             1.7516e-05
                     42,                 1.2042,                 4.7243,                 1.8463,                0.00539,                0.80805,                0.03333,                0.02712,                0.78898,                  4.913,                 1.5025,             1.7229e-05,             1.7229e-05,             1.7229e-05
                     43,                 1.2044,                 4.7017,                 1.8249,                 0.0052,                0.81209,                0.03568,                0.02933,                0.78387,                 4.8632,                 1.4799,             1.6942e-05,             1.6942e-05,             1.6942e-05
                     44,                 1.1848,                  4.694,                 1.8146,                0.00535,                 0.8088,                0.03517,                0.02889,                0.79818,                 4.8505,                  1.476,             1.6655e-05,             1.6655e-05,             1.6655e-05
                     45,                 1.1683,                 4.6815,                 1.8079,                0.00524,                0.81715,                0.03541,                0.02962,                0.78327,                 4.8349,                 1.4819,             1.6368e-05,             1.6368e-05,             1.6368e-05
                     46,                 1.1799,                 4.6699,                 1.8052,                0.00539,                0.81689,                0.03746,                0.03065,                0.80152,                 4.8134,                 1.4757,              1.608e-05,              1.608e-05,              1.608e-05
                     47,                 1.1865,                 4.6644,                 1.8062,                0.00509,                0.82396,                0.03757,                0.03042,                0.80186,                  4.785,                 1.4656,             1.5793e-05,             1.5793e-05,             1.5793e-05
                     48,                  1.179,                 4.6452,                 1.7991,                0.00522,                0.82987,                0.04113,                0.03403,                0.77857,                 4.7685,                 1.4628,             1.5506e-05,             1.5506e-05,             1.5506e-05
                     49,                 1.1638,                 4.6461,                 1.7883,                 0.0051,                0.84149,                0.04281,                 0.0356,                0.78362,                  4.754,                 1.4481,             1.5219e-05,             1.5219e-05,             1.5219e-05
                     50,                 1.1631,                 4.6332,                 1.7865,                0.00513,                 0.8467,                0.04477,                0.03736,                0.78146,                 4.7518,                  1.449,             1.4932e-05,             1.4932e-05,             1.4932e-05
                     51,                 1.1689,                 4.6091,                 1.7853,                0.04706,                0.40875,                0.04536,                0.03772,                0.77241,                 4.7108,                 1.4394,             1.4645e-05,             1.4645e-05,             1.4645e-05
                     52,                 1.1601,                 4.6261,                 1.7832,                0.00504,                0.84994,                0.04629,                0.03809,                0.79047,                 4.7347,                 1.4386,             1.4358e-05,             1.4358e-05,             1.4358e-05
                     53,                 1.1553,                 4.5819,                 1.7618,                0.00503,                0.85987,                0.04562,                0.03806,                 0.7619,                 4.6954,                 1.4301,             1.4071e-05,             1.4071e-05,             1.4071e-05
                     54,                 1.1518,                 4.5793,                 1.7654,                0.00515,                0.85429,                0.04601,                0.03878,                0.76352,                 4.6939,                 1.4417,             1.3784e-05,             1.3784e-05,             1.3784e-05
                     55,                 1.1507,                 4.5755,                 1.7647,                0.26039,                0.16596,                0.04907,                0.04082,                0.75956,                 4.6652,                 1.4283,             1.3497e-05,             1.3497e-05,             1.3497e-05
                     56,                  1.149,                 4.5584,                 1.7611,                0.11744,                0.30068,                0.04881,                0.04118,                0.75709,                 4.6547,                 1.4356,             1.3209e-05,             1.3209e-05,             1.3209e-05
                     57,                 1.1301,                 4.5421,                 1.7395,                0.00507,                0.85763,                0.04838,                 0.0401,                0.76932,                 4.6503,                  1.423,             1.2922e-05,             1.2922e-05,             1.2922e-05
                     58,                 1.1417,                 4.5559,                 1.7523,                0.13882,                0.33191,                0.05461,                0.04547,                0.77115,                 4.6131,                 1.4177,             1.2635e-05,             1.2635e-05,             1.2635e-05
