                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2562,                 9.6457,                 1.5475,                0.01972,                0.23333,                0.03188,                 0.0283,                0.57865,                 6.4366,                 1.0571,               5.22e-06,               5.22e-06,               5.22e-06
                      2,                 1.0901,                  7.604,                  1.378,                0.04097,                0.27333,                0.04282,                 0.0366,                0.57618,                 5.5037,                 1.0512,             1.0518e-05,             1.0518e-05,             1.0518e-05
                      3,                 1.0518,                 6.7813,                 1.3924,                0.04009,                   0.24,                0.04794,                0.04347,                0.60302,                 4.9025,                 1.0671,             1.5597e-05,             1.5597e-05,             1.5597e-05
                      4,                 1.0951,                 6.4598,                 1.4024,                0.05019,                0.34667,                0.08178,                0.07191,                0.61138,                 4.5461,                 1.0688,             2.0458e-05,             2.0458e-05,             2.0458e-05
                      5,                0.94896,                 5.9812,                 1.3034,                0.42217,                0.21542,                0.18701,                0.16318,                0.60145,                 3.9611,                 1.0669,             2.5101e-05,             2.5101e-05,             2.5101e-05
                      6,                0.93718,                 5.4416,                 1.2978,                0.08621,                0.69333,                0.27618,                0.24097,                0.59766,                 3.5356,                 1.0639,             2.6129e-05,             2.6129e-05,             2.6129e-05
                      7,                  0.959,                 5.0923,                 1.3621,                0.47633,                   0.46,                0.37599,                0.32963,                0.57876,                 3.1366,                  1.038,             2.5555e-05,             2.5555e-05,             2.5555e-05
                      8,                0.80936,                 4.9987,                 1.1988,                 0.5763,                0.33119,                0.43143,                0.37744,                0.55802,                 2.9182,                 1.0202,             2.4981e-05,             2.4981e-05,             2.4981e-05
                      9,                0.91174,                  4.734,                 1.3166,                0.57869,                0.42634,                0.52186,                0.45623,                0.53104,                 2.4944,                0.99766,             2.4406e-05,             2.4406e-05,             2.4406e-05
                     10,                0.80677,                 4.4383,                 1.2423,                0.55631,                0.51834,                0.57929,                0.50796,                0.52074,                 2.2534,                0.98946,             2.3832e-05,             2.3832e-05,             2.3832e-05
                     11,                0.87837,                 4.2906,                 1.2911,                0.58953,                0.57956,                0.63131,                0.55893,                0.50389,                 2.0525,                0.97615,             2.3258e-05,             2.3258e-05,             2.3258e-05
                     12,                0.84856,                 4.2665,                 1.2843,                0.56649,                0.62057,                0.69359,                0.61809,                0.48669,                 1.7497,                0.96293,             2.2684e-05,             2.2684e-05,             2.2684e-05
                     13,                0.82252,                 3.8894,                  1.235,                0.58255,                0.65552,                0.72928,                0.65443,                0.47958,                 1.5492,                0.95961,              2.211e-05,              2.211e-05,              2.211e-05
                     14,                0.77879,                 3.6869,                 1.2117,                0.62532,                 0.7317,                0.76322,                0.68961,                0.47391,                 1.3757,                0.95824,             2.1535e-05,             2.1535e-05,             2.1535e-05
                     15,                 0.8003,                 3.5184,                 1.1908,                0.73861,                0.71027,                0.81676,                0.73987,                0.46656,                 1.2034,                0.95525,             2.0961e-05,             2.0961e-05,             2.0961e-05
                     16,                0.83709,                 3.2689,                 1.2466,                0.76212,                0.75249,                0.83554,                0.75864,                0.45901,                 1.1346,                0.94961,             2.0387e-05,             2.0387e-05,             2.0387e-05
                     17,                0.80485,                  3.391,                 1.2399,                0.74542,                0.80239,                0.86211,                0.78174,                0.45329,                 1.0541,                0.94173,             1.9813e-05,             1.9813e-05,             1.9813e-05
                     18,                0.79683,                  3.354,                 1.2209,                0.77973,                0.81091,                0.86724,                0.78787,                0.45001,                  1.023,                 0.9378,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                 0.8241,                 3.2333,                 1.2249,                0.79135,                0.83826,                0.86895,                0.79443,                0.44604,                0.98941,                0.93481,             1.8664e-05,             1.8664e-05,             1.8664e-05
                     20,                0.72503,                  2.943,                  1.175,                0.78338,                 0.8595,                0.87917,                0.80766,                0.43788,                0.93588,                 0.9305,              1.809e-05,              1.809e-05,              1.809e-05
                     21,                0.75218,                 2.8318,                 1.1973,                0.77927,                 0.8876,                0.88784,                0.81911,                0.43549,                0.89814,                0.92909,             1.7516e-05,             1.7516e-05,             1.7516e-05
                     22,                0.72298,                 2.7212,                 1.1758,                0.80911,                0.88165,                0.90745,                0.83597,                0.43203,                0.88268,                0.92728,             1.6942e-05,             1.6942e-05,             1.6942e-05
                     23,                0.71306,                 2.7617,                 1.1662,                0.79804,                0.91921,                0.92419,                0.85233,                0.42826,                0.83084,                0.92542,             1.6368e-05,             1.6368e-05,             1.6368e-05
                     24,                0.72064,                 2.6542,                 1.1575,                0.80116,                0.93284,                0.92949,                0.85911,                0.42482,                0.77859,                0.92408,             1.5793e-05,             1.5793e-05,             1.5793e-05
                     25,                  0.691,                 2.6326,                  1.153,                0.81193,                0.91578,                0.93421,                0.86346,                0.41941,                0.74491,                0.92143,             1.5219e-05,             1.5219e-05,             1.5219e-05
                     26,                0.80625,                 2.6708,                 1.2107,                0.80874,                0.91858,                0.94302,                0.87355,                0.41489,                0.73177,                0.91868,             1.4645e-05,             1.4645e-05,             1.4645e-05
