                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1948,                 6.9843,                  1.538,                0.00181,                0.24945,                0.00289,                0.00221,                0.83494,                  4.483,                 1.3587,             9.6443e-06,             9.6443e-06,             9.6443e-06
                      2,                0.96849,                 5.5183,                 1.3844,                0.00406,                0.53934,                0.01199,                 0.0097,                0.75365,                 4.0097,                 1.2841,             1.7718e-05,             1.7718e-05,             1.7718e-05
                      3,                0.76333,                 5.4901,                 1.3164,                0.51931,                0.04673,                 0.0415,                0.03437,                0.71665,                 3.6303,                 1.2499,             2.4196e-05,             2.4196e-05,             2.4196e-05
                      4,                0.72637,                 4.9248,                 1.2592,                0.41388,                0.12251,                0.10692,                0.09099,                 0.7099,                 3.2628,                 1.2253,             2.1822e-05,             2.1822e-05,             2.1822e-05
                      5,                0.71057,                 4.4949,                 1.2514,                0.39291,                0.20836,                0.19263,                0.16393,                  0.696,                 2.9041,                 1.2088,              1.943e-05,              1.943e-05,              1.943e-05
                      6,                0.69974,                 4.1307,                 1.2349,                0.39499,                0.30629,                0.29798,                0.25553,                0.67572,                 2.5933,                 1.1998,             1.7037e-05,             1.7037e-05,             1.7037e-05
                      7,                0.68059,                  3.836,                 1.2158,                0.42393,                 0.3985,                0.38217,                0.32699,                0.66542,                 2.3851,                 1.1774,             1.4645e-05,             1.4645e-05,             1.4645e-05
                      8,                0.67707,                 3.5651,                 1.2095,                0.45837,                0.46497,                0.47058,                 0.4018,                0.66348,                  2.155,                 1.1747,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      9,                0.66794,                 3.3462,                 1.1969,                0.50983,                0.50162,                0.52628,                0.45099,                0.64553,                 1.9917,                 1.1652,               9.86e-06,               9.86e-06,               9.86e-06
                     10,                0.65688,                 3.1613,                 1.1845,                0.55396,                 0.5419,                0.58359,                 0.5025,                0.63496,                 1.8692,                 1.1562,             7.4675e-06,             7.4675e-06,             7.4675e-06
                     11,                0.65168,                 3.0284,                 1.1669,                0.56146,                0.59154,                0.62171,                  0.536,                0.63357,                 1.7844,                 1.1524,              5.075e-06,              5.075e-06,              5.075e-06
                     12,                0.64512,                 2.9286,                 1.1816,                0.60852,                0.59001,                0.64177,                0.55183,                0.63118,                 1.7181,                 1.1515,             2.6825e-06,             2.6825e-06,             2.6825e-06
