                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9834,                 5.2714,                 4.1762,                      0,                      0,                      0,                      0,                 2.8067,                 5.4994,                 4.1591,              4.734e-05,              4.734e-05,              4.734e-05
                      2,                 3.0433,                 5.1428,                 4.1505,                      0,                      0,                      0,                      0,                 2.8058,                 5.4974,                  4.156,             9.8951e-05,             9.8951e-05,             9.8951e-05
                      3,                 2.9641,                 5.1849,                 4.1107,                      0,                      0,                      0,                      0,                 2.7917,                 5.4909,                 4.1453,             0.00014952,             0.00014952,             0.00014952
                      4,                 2.9109,                 5.1731,                  4.066,                      0,                      0,                      0,                      0,                 2.7477,                 5.4687,                 4.1179,             0.00019905,             0.00019905,             0.00019905
                      5,                 2.7985,                 5.1157,                 3.9924,                  9e-05,                    0.1,                0.00059,                0.00011,                   2.63,                 5.4377,                 4.0606,             0.00024753,             0.00024753,             0.00024753
                      6,                 2.7777,                  5.061,                 3.9251,                0.00035,                    0.3,                0.00931,                0.00193,                  2.471,                 5.3745,                 3.9396,             0.00029498,             0.00029498,             0.00029498
                      7,                 2.7689,                 4.9704,                 3.8161,                0.00034,                0.29333,                0.00162,                0.00035,                  2.492,                 5.3723,                  3.936,             0.00034138,             0.00034138,             0.00034138
                      8,                 2.8412,                 4.9066,                 3.7339,                0.00028,                0.22667,                0.00068,                0.00018,                 2.5216,                 5.3526,                 3.9361,             0.00038674,             0.00038674,             0.00038674
                      9,                 2.8448,                 4.7737,                 3.6553,                0.00011,                0.10667,                 0.0002,                  5e-05,                  2.634,                 5.3575,                   4.05,             0.00043106,             0.00043106,             0.00043106
                     10,                  2.666,                 4.7423,                  3.558,                0.00328,                0.35333,                 0.0228,                0.00895,                 2.1802,                 5.3825,                 3.5154,             0.00047434,             0.00047434,             0.00047434
