                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.80301,                 2.1453,                 1.2366,                0.89785,                0.92537,                0.96726,                0.84236,                0.58913,                0.71932,                 1.1653,             1.0626e-05,             1.0626e-05,             1.0626e-05
                     34,                0.80146,                 2.1366,                 1.2327,                0.88358,                0.94324,                0.97006,                0.84584,                 0.5848,                0.70916,                 1.1646,             1.0051e-05,             1.0051e-05,             1.0051e-05
                     35,                0.80095,                  2.108,                 1.2404,                0.89349,                0.93656,                0.97096,                0.84703,                0.58212,                0.69475,                   1.16,             9.4772e-06,             9.4772e-06,             9.4772e-06
                     36,                0.79212,                 2.0889,                 1.2227,                0.91032,                 0.9325,                0.97424,                 0.8498,                0.58252,                0.68397,                 1.1658,              8.903e-06,              8.903e-06,              8.903e-06
                     37,                0.79411,                 2.0755,                 1.2304,                0.91308,                0.93271,                0.97329,                0.84857,                 0.5863,                0.68487,                 1.1614,             8.3288e-06,             8.3288e-06,             8.3288e-06
                     38,                0.80442,                 2.0413,                 1.2384,                0.92376,                0.93598,                0.97581,                0.85287,                0.58159,                  0.658,                 1.1569,             7.7546e-06,             7.7546e-06,             7.7546e-06
                     39,                0.79356,                 2.0129,                 1.2334,                0.90934,                0.94604,                0.97628,                0.85189,                0.58436,                 0.6639,                 1.1559,             7.1804e-06,             7.1804e-06,             7.1804e-06
                     40,                0.78525,                 2.0424,                 1.2242,                0.91268,                0.95016,                0.97761,                0.85692,                0.57506,                0.65334,                 1.1518,             6.6062e-06,             6.6062e-06,             6.6062e-06
                     41,                0.60246,                 1.1254,                 1.1716,                 0.9261,                 0.9528,                0.97951,                0.85858,                  0.568,                0.64763,                 1.1441,              6.032e-06,              6.032e-06,              6.032e-06
                     42,                0.58713,                 1.0434,                 1.1498,                0.93606,                 0.9557,                0.98105,                0.86373,                 0.5625,                   0.62,                  1.139,             5.4578e-06,             5.4578e-06,             5.4578e-06
                     43,                0.57783,                 1.0037,                 1.1407,                0.94295,                0.96351,                0.98394,                0.86619,                0.55901,                0.60469,                 1.1331,             4.8836e-06,             4.8836e-06,             4.8836e-06
                     44,                 0.5771,                0.97859,                  1.145,                0.94692,                0.96331,                0.98488,                0.86724,                 0.5572,                0.59336,                 1.1311,             4.3094e-06,             4.3094e-06,             4.3094e-06
                     45,                0.57112,                0.95155,                 1.1378,                0.94985,                0.96657,                0.98568,                0.87151,                0.55306,                0.58294,                 1.1281,             3.7352e-06,             3.7352e-06,             3.7352e-06
                     46,                0.56919,                0.93122,                 1.1373,                0.95433,                0.96632,                0.98603,                0.87247,                0.54857,                0.57501,                 1.1248,              3.161e-06,              3.161e-06,              3.161e-06
                     47,                0.57148,                0.91638,                 1.1369,                0.95614,                0.96846,                 0.9867,                0.87433,                0.54636,                0.56442,                 1.1239,             2.5868e-06,             2.5868e-06,             2.5868e-06
                     48,                0.56366,                0.90696,                 1.1291,                0.95636,                0.96875,                0.98666,                0.87429,                0.54482,                0.55289,                 1.1221,             2.0126e-06,             2.0126e-06,             2.0126e-06
                     49,                  0.567,                 0.8924,                 1.1271,                0.95957,                0.96825,                0.98696,                0.87518,                 0.5437,                0.55692,                 1.1196,             1.4384e-06,             1.4384e-06,             1.4384e-06
                     50,                0.56142,                0.89137,                 1.1287,                0.95821,                0.97158,                0.98723,                0.87555,                0.54301,                0.55053,                 1.1178,              8.642e-07,              8.642e-07,              8.642e-07
